종목명,당일 정확도,당일 등락,다음주 정확도,다음주 등락,다음달 정확도,다음달 등락
펄어비스,99.0%,하락,93.0%,상승,98.0%,하락
원익IPS,89.32%,상승,89.02%,상승,84.67%,상승
엘앤에프,87.13%,상승,97.37%,상승,97.49%,상승
솔브레인,85.46%,상승,64.66%,하락,94.96%,하락
에스티팜,85.05%,상승,88.66%,상승,52.24%,하락
케이엠더블유,84.86%,상승,85.65%,상승,50.65%,상승
셀트리온헬스케어,84.48%,상승,93.61%,상승,68.06%,상승
휴젤,81.39%,상승,51.72%,상승,75.4%,하락
스튜디오드래곤,78.37%,상승,91.14%,상승,57.72%,상승
셀트리온제약,78.03%,상승,78.43%,상승,60.41%,상승
SK머티리얼즈,75.3%,상승,83.64%,상승,54.21%,상승
티씨케이,75.1%,상승,87.6%,상승,79.89%,하락
카카오게임즈,74.19%,상승,61.09%,하락,86.72%,하락
리노공업,73.45%,상승,89.57%,상승,93.59%,상승
씨젠,73.16%,상승,66.58%,하락,97.0%,하락
제넥신,68.63%,상승,76.1%,하락,91.36%,하락
에코프로비엠,66.15%,상승,86.67%,상승,93.96%,상승
알테오젠,65.48%,상승,85.99%,하락,68.96%,하락
CJ ENM,60.01%,상승,64.46%,하락,86.93%,하락
에이치엘비,50.52%,상승,57.74%,하락,74.14%,상승
