,KOSDAQ 수익률,KOSDAQ 적중,KOSDAQ 누적 수익률
1,-1.13,True,-0.99
2,0.43,True,-0.56
3,0.79,True,0.23
4,-3.92,False,-3.69
5,1.17,True,-2.52
6,0.25,True,-2.27
7,2.7,True,0.43
8,2.77,False,3.2
9,-0.9,False,2.3
10,-9.17,True,-6.87
11,8.56,False,1.69
12,-9.51,False,-7.82
13,1.68,True,-6.14
14,0.11,True,-6.03
15,0.51,True,-5.52
16,3.91,True,-1.61
17,-3.74,False,-5.35
18,-0.22,False,-5.57
19,-3.31,False,-8.88
20,5.11,True,-3.77
21,-1.7,False,-5.47
22,-0.79,False,-6.26
23,2.84,True,-3.42
24,-1.69,False,-5.11
25,3.89,True,-1.22
26,-0.25,False,-1.47
27,1.97,True,0.5
28,1.2,True,1.7
29,0.0,False,1.7
30,-1.01,False,0.69
