N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"82,800",400,+0.49%,100,"4,942,980","5,969,783",54.68,"17,742,320",21.56,9.99
2,SK하이닉스,"132,500",500,-0.38%,"5,000","964,603","728,002",50.15,"4,812,059",20.28,9.53
3,NAVER,"378,000","2,500",-0.66%,100,"620,916","164,263",56.94,"502,689",62.00,15.22
4,삼성전자우,"75,200",100,+0.13%,100,"618,811","822,887",77.68,"1,303,100",19.58,N/A
5,LG화학,"874,000","3,000",+0.34%,"5,000","616,977","70,592",44.31,"209,220",133.46,2.93
6,삼성바이오로직스,"812,000","7,000",+0.87%,"2,500","537,260","66,165",10.32,"72,785",222.95,N/A
7,카카오,"117,500",0,0.00%,100,"521,476","443,809",33.61,"2,458,492",330.99,2.70
8,현대차,"221,000","5,000",-2.21%,"5,000","472,207","213,668",30.67,"1,183,106",42.97,2.04
9,삼성SDI,"670,000","2,000",-0.30%,"5,000","460,722","68,765",42.73,"182,480",82.05,4.54
10,셀트리온,"288,000",0,0.00%,"1,000","396,586","137,703",21.20,"509,250",77.48,16.68
11,기아,"81,300","2,100",-2.52%,"5,000","329,560","405,363",33.53,"4,449,608",22.15,5.05
12,POSCO,"355,500","2,500",+0.71%,"5,000","309,949","87,187",54.62,"325,528",19.35,3.61
13,현대모비스,"290,500","7,500",-2.52%,"5,000","275,374","94,793",38.81,"742,654",18.06,4.66
14,LG전자,"163,500",0,0.00%,"5,000","267,564","163,648",31.10,"1,108,674",15.02,13.23
15,SK텔레콤,"314,500","4,000",+1.29%,500,"253,945","80,746",39.32,"275,557",16.88,6.44
16,삼성물산,"135,500","1,000",+0.74%,100,"253,232","186,887",14.79,"397,214",24.78,3.81
17,SK이노베이션,"270,000","5,500",+2.08%,"5,000","249,657","92,466",22.43,"834,887",-11.65,-13.58
18,LG생활건강,"1,598,000","72,000",+4.72%,"5,000","249,579","15,618",45.81,"83,046",35.50,17.92
19,KB금융,"54,300",800,+1.50%,"5,000","225,784","415,808",69.07,"3,095,660",6.54,8.53
20,SK,"296,000","4,000",-1.33%,200,"208,266","70,360",21.21,"249,753",110.86,1.11
21,LG,"114,500","5,500",+5.05%,"5,000","197,578","172,557",35.12,"632,594",13.74,7.50
22,신한지주,"37,450",250,+0.67%,"5,000","193,467","516,600",60.10,"3,005,087",5.55,8.20
23,엔씨소프트,"849,000","1,000",-0.12%,500,"186,390","21,954",51.97,"63,750",31.73,20.83
24,삼성생명,"82,400",400,+0.49%,500,"164,800","200,000",13.08,"318,024",13.02,3.53
25,한국전력,"24,050",50,-0.21%,"5,000","154,392","641,964",16.60,"1,447,375",7.75,2.91
26,아모레퍼시픽,"263,500","5,000",+1.93%,500,"154,038","58,458",33.37,"176,449",517.68,0.78
27,삼성에스디에스,"193,000","5,500",+2.93%,500,"149,339","77,378",11.95,"333,002",33.68,6.71
28,삼성전기,"193,000",0,0.00%,"5,000","144,159","74,694",35.00,"242,513",24.80,10.92
29,하나금융지주,"42,900",900,+2.14%,"5,000","128,804","300,242",68.89,"1,702,322",4.88,8.96
30,포스코케미칼,"162,000","3,000",-1.82%,500,"125,490","77,463",7.65,"284,958",351.41,2.96
31,넷마블,"140,000","1,000",-0.71%,100,"120,335","85,954",24.01,"281,221",38.39,6.35
32,SK바이오사이언스,"150,500","5,500",+3.79%,500,"115,132","76,500",2.79,"1,283,267",280.26,13.25
33,KT&G,"82,900",0,0.00%,"5,000","113,815","137,292",40.15,"333,944",9.71,13.22
34,HMM,"32,950",800,-2.37%,"5,000","113,807","345,392",11.46,"8,804,090",85.81,8.93
35,롯데케미칼,"293,500","3,000",-1.01%,"5,000","100,598","34,275",25.82,"199,388",63.49,1.22
36,한국조선해양,"141,000",500,+0.36%,"5,000","99,790","70,773",18.29,"297,232",-11.97,-7.42
37,LG디스플레이,"27,050",650,+2.46%,"5,000","96,789","357,816",24.42,"7,364,613",-108.20,-0.79
38,한화솔루션,"49,700",700,-1.39%,"5,000","95,065","191,278",17.49,"1,571,596",26.97,5.30
39,삼성화재,"196,000",0,0.00%,500,"92,855","47,375",46.96,"86,408",13.13,4.96
40,SK바이오팜,"118,500","1,000",+0.85%,500,"92,801","78,313",7.63,"281,258",-34.43,-135.18
41,하이브,"258,500","3,500",+1.37%,500,"92,087","35,624",7.88,"283,510",N/A,12.52
42,한온시스템,"17,100",250,-1.44%,100,"91,280","533,800",19.46,"945,697",82.61,5.09
43,대한항공,"26,200",150,-0.57%,"5,000","91,129","347,821",10.48,"1,240,352",-22.11,-7.22
44,S-Oil,"78,000",700,-0.89%,"2,500","87,815","112,583",75.84,"189,353",-11.43,-13.07
45,금호석유,"278,000","1,500",-0.54%,"5,000","84,700","30,468",25.77,"469,520",15.97,20.18
46,고려아연,"439,000","2,000",+0.46%,"5,000","82,839","18,870",22.31,"88,731",14.46,8.37
47,KT,"29,450",300,+1.03%,"5,000","76,897","261,112",43.01,"977,814",11.69,4.76
48,우리금융지주,"10,500",0,0.00%,"5,000","75,838","722,268",27.05,"3,351,972",5.80,5.87
49,현대글로비스,"187,000",0,0.00%,500,"70,125","37,500",32.75,"136,962",11.57,12.45
50,현대제철,"51,500","1,500",+3.00%,"5,000","68,725","133,446",20.46,"1,680,062",-15.98,-2.59
